"Required
必須","Partner
推獎","Category 
オファー類別","Length
時間","Key Stat
目標スタート","Score
目標","Text
テキスト"
天海春香,如月千早,一日店長,3,Visual,7000,お疲れさまです、Pさん！ えへへ♪ 千早ちゃん、さすがの名店長ぶりでしたよ。 私も見習って……目指せ、一日店長マスター！ ですね♪
天海春香,如月千早,,,,,チャリティマラソン大会に行ってきました！ コースが私の地元だったんですよ！ ちょっとハードでしたけど、思い出の場所を千早ちゃんと一緒に走れて、すっごく嬉しかったです！
天海春香,星井美希,ゲームイベント,9,Dance,9000,びっくりしました！ 美希、ゲームがすごく上手なんですね！ファンの人達と対戦したんですけど、全部勝ってたんですよ！ なんでもできるんだなぁ……、ちょっとうらやましいかも。
天海春香,萩原雪歩,地域PRイベント,9,Vocal,5000,自治会のおばあちゃんが、とっても親切にしてくれたんです♪ 雪歩と一緒に、お茶を飲みながらつい話し込んじゃって……。でもおかげで、名産品のことを聞けてうまくPRできました！
天海春香,萩原雪歩,握手会,9,Dance,32000,今回の握手会は、小さい子が多かったんです。それで雪歩は、しゃがんで目線を合わせたり、優しく話しかけたりしていたんですよ。雪歩もファンのみんなも、すっごく楽しそうでした♪
天海春香,高槻やよい,PV撮影,6,Total,31000,今日のPV撮影、かなり長丁場になっちゃったんですけど、やよいは弱音一つはかなくって、最後まで笑顔でした。だから私も負けないで頑張れたんです！助けられてばかりだなぁ。
天海春香,高槻やよい,商品PRイベント,9,Dance,3000,新型オーブンレンジのPRイベントで、お菓子を作りました♪今回はやよいの提案で、おからクッキーを作ったんですよ。安くておいしくてその上簡単なんです！お家でも作ろっと♪
天海春香,菊地真,トークショー,6,Visual,28000,途中でケーキを作ることになってたんですけど、手違いでハンドミキサーがなくて……。でも、真があっという間にクリームを泡立ててくれたんですよ！頼りになりますよね！
天海春香,菊地真,スポーツイベント,3,Dance,16500,サッカーをしてきました。真が大活躍してかっこよかったんですよ！私が転んだ時も、すぐに助け起こしてくれて。それに、勝って喜んでるところは、すごくかわいかったです♪
天海春香,水瀬伊織,旅番組,6,Total,31000,泊まった宿が、とっても快適でした！ おじいさんとおばあさんだけでやってる民宿なんですけど、伊織も、うちのメイドに負けない心配りねって。お仕事なのに癒されちゃいました♪
天海春香,四条貴音,密着取材,6,Visual,22000,公演前の様子を取材してもらいました。貴音さんって、練習中でもオーラがあって、かっこいいんですよ！ 私もかっこよく映りたかったんですけど、何回も転んじゃって……えへへ♪
天海春香,四条貴音,ファッションショー,6,Visual,6000,貴音さんって何を着ても様になるっていうか、カリスマがあって憧れます。和服やドレスやチャイナ服まで……。あ、着ぐるみも似合ってたんですよ！ 写真、見ますか？
天海春香,四条貴音,PR,9,Total,78000,開場の前に貴音さんとステージから客席を眺めたんです。これから始まるライブのことやお客さんのことをお話ししながら。そしたら、いつも以上に頑張ろうって気持ちになりましたか♪
天海春香,秋月律子,サイン会,6,Visual,3000,サイン会のお仕事でした！ 途中、列が乱れて焦っちゃったんですけど、律子さんがサッと抜けて整理してくれて……。頼りになりますよね！ 私も見習わないと！
天海春香,秋月律子,バラエティ番組,6,Vocal,16500,プールでいろんな対決をしました。律子さんはカナヅチだって不安そうにしてたので、絶対溺れない競技に出てもらったんです。子ども用プールで頑張る律子さん、可愛かったですよ♪
天海春香,三浦あずさ,PV撮影,6,Visual,32000,私が転ぶシーンがあったんですけど、意識しちゃうと、うまくできなかったんです。でも、あずささんが一緒にお話ししながら歩いてくれたら、演技を忘れていつも通りに転べました！
天海春香,双海亜美,スポーツイベント,9,Total,23500,卓球をしてきたんですけど、亜美が変なサーブばっかりして、ちょっと大変でした。せくしーショットとかはまだいいんですけど、最後はふたりに分裂して……あれ？ 真美……？
天海春香,双海亜美,スポーツイベント,3,Dance,32000,アスリートのみなさんを応援してきました！頑張る人って素敵ですね♪ 亜美ったら影響されて、劇場まで走るって……えっ？ 疲れたからもう帰るって連絡があったんですか！？
天海春香,双海真美,グラビア撮影,9,Visual,32000,真美と一緒にすごいポーズしてきちゃいました。「はるるんもそろそろ、せくしーに挑戦しないと！」なんて言われて……。い、今になって急に、恥ずかしくなってきたんですけど……。
天海春香,双海真美,スポーツイベント,3,Dance,3000,運動会で真美が大活躍したんですよ！ 最後は疲れてるのに、ウイニングランまでしちゃって。おかげで、控室で寝ちゃってますけど……。少ししたら、起こしてあげてくれませんか？
天海春香,我那覇響,握手会,3,Dance,9000,響ちゃん、沖縄の方が握手会に来てくれてたみたいで、すっごく喜んでました！ うちなーぐちで話してたから、私にはよくわからなかったんですけど……。今度、教えてもらおうかな♪
天海春香,我那覇響,レポーター,9,Total,33500,響ちゃんがレポート中に転んじゃったんです。 私、自分が転ぶのは慣れてますけど、他の人だとびっくりしちゃって……。いつも周りの人に、  こんなに心配かけちゃってるんですね。
天海春香,春日未来,ラジオ,3,Total,85000,ラジオのお仕事、楽しかったです♪ でも、未来ちゃんがいろんなボタンを押そうとしちゃって。 とめるの、大変でしたー！ あははっ♪
天海春香,春日未来,音楽番組,3,Vocal,7000,今日の音楽番組で、未来ちゃんと『ハルカナミライ』を歌いました！この曲は未来ちゃんと私の特別な曲……。TVの前の皆さんにも、私たちの想いが伝わってるといいな♪
天海春香,最上静香,雑誌取材,3,Vocal,30000,特技の話を聞かれました。静香ちゃん、ピアノが弾けるのうらやましいです。私も習ってたことあるんですけど、遊びたくてすぐ辞めちゃったので、続けてればよかったかなぁ……。
天海春香,最上静香,TV番組MC,9,Total,42000,MCをした番組で、ついうっかりを連発しちゃったんです。静香ちゃん、私に注意したかったんじゃないかな……。なんだか、ワナワナしてた気がして……。えへへっ……。
天海春香,伊吹翼,スポーツ番組,9,Dance,9000,共演した空手の日本代表の人、翼ちゃんのファンになっちゃったんです。あんなにカワイイ子に「頑張れー！」って応援されたら、誰でもそうなっちゃいますよね♪
天海春香,伊吹翼,レポーター,9,Vocal,5000,翼ちゃん、ファッションショーのレポート張り切ってたんですよ。モデルさんにインタビューいっぱいしてて。質問の内容はモテモテになる方法について、ばかりだったんですけど……。
天海春香,田中琴葉,ロケ番組,3,Dance,9500,琴葉ちゃんがお湯の性質とか地域の歴史を全部予習してきてくれたおかげで、温泉ロケ大成功でした♪ お礼に温泉饅頭、手作りしようと思います♪ 琴葉ちゃん喜んでくれるかな～。
天海春香,田中琴葉,ドラマ,6,Total,23500,琴葉ちゃんが、ドラマの現場に持って行く差し入れに悩んでたので、一緒にクッキーを作りました！　楽しくてつい、山盛りになっちゃったんですけど♪　喜んでもらえて良かったです！
天海春香,島原エレナ,声優,6,Vocal,33000,いろんな役をしたんですけど、エレナちゃんは自然にしゃべり方を変えててびっくりしました！ コツは、友達のマネをすることだそうなんです。結構、周りをよく見てるんですね。
天海春香,島原エレナ,スポーツイベント,6,Dance,3000,芸能人のスポーツ大会に参加してきました♪ 私は二人三脚に出場したんですけど、なんと2回しか転ばなかったんですよ！ エレナちゃんの運動神経に助けてもらっちゃいました！
天海春香,佐竹美奈子,スポーツイベント,3,Vocal,3000,美奈子ちゃん、今日も差し入れを作ってきてくれたんです！ 「大変じゃない？」って聞いたら「みんなが美味しそうに食べるのを見るのが嬉しいから」って。わかる気がするなぁ。
天海春香,所恵美,トーク番組,3,Visual,32000,待ち時間が決まってるのに私、一人で話し過ぎちゃって。でも恵美ちゃんが、うまく止めてくれたんです。話し上手だし聞き上手ですよね。さり気ないフォロー、うれしかったなぁ。
天海春香,所恵美,雑誌取材,6,Visual,32000,ファッション雑誌の取材でした！ 編集部にはオシャレな人がたくさんいたんですけど、その中でも恵美ちゃんはひときわキラキラしてたんですよ！ なんだか誇らしかったです♪
天海春香,徳川まつり,レポーター,6,Visual,36000,コスプレイベントに行ってきました。 まつりちゃんはお姫様の衣装を着せてもらってたんですけど、「姫は姫なのでこれはコスプレではないのです」って言ってました。
天海春香,徳川まつり,フェス,6,Total,13500,野外フェス、すっごく気持ち良かったです！　それに休憩時間に、まつりちゃんがわたあめを買ってきてくれて、みんなで食べたんですよ！　そういうのも、フェスの醍醐味ですよね♪
天海春香,箱崎星梨花,グルメ番組,9,Total,55000,私の手作りクッキーと、コンビニで買ってきたクッキー。 目隠しで味見した星梨花ちゃんが、私の方を選んでくれたんです。私、うれしくて感動しちゃいました！
天海春香,箱崎星梨花,ドラマ,3,Dance,7000,星梨花ちゃんって、本当に勉強熱心ですよね。今日の撮影も、本番直前までいっぱい質問されたんですよ。一生懸命だから、私もつい、ちゃんと答えなきゃって思っちゃいました。
天海春香,野々原茜,ファッションショー,3,Dance,9000,ロックなショーで、革ジャンとか着たんですけど、茜ちゃんが茜ちゃん人形をつけて出ちゃって……。でも、それもロックだって、スタッフさんに好評だったんです。奥が深いですね！
天海春香,望月杏奈,ラジオ,9,Dance,34000,ラジオの健康番組に出演しました！ 杏奈ちゃん、特に気をつけてることはないそうなんですけど、今度一緒にジョギングしない？って誘ったらOKしてくれました。楽しみだな～♪
